user_id,date,app_name,app_category,minutes_used,notifications,context_switches,focus_minutes,focus_rating,focus_efficiency,distraction_intensity,focus_rating_norm,rolling_focus_7d
U0001,2025-01-19,Gmail,Productivity,116.7,3,1,75,4.8,0.637213,0.0131579,0.96,58.2857
U0001,2025-01-19,Chrome,Productivity,46.8,3,1,75,5,1.56904,0.0131579,1,63.8571
U0001,2025-01-19,Spotify,Entertainment,26.8,2,3,75,3.6,2.69784,0.0394737,0.72,69.4286
U0001,2025-01-20,WhatsApp,Social,53.6,6,4,236,3.3,4.32234,0.0168776,0.66,98
U0001,2025-01-20,Instagram,Social,36.2,6,7,236,1.4,6.34409,0.0295359,0.28,121
U0001,2025-01-20,Chrome,Productivity,31,1,1,236,4.8,7.375,0.00421941,0.96,144
U0001,2025-01-20,Spotify,Entertainment,6.3,1,3,236,3.9,32.3288,0.0126582,0.78,167
U0001,2025-01-20,YouTube,Entertainment,65.5,1,3,236,3,3.54887,0.0126582,0.6,190
U0001,2025-01-20,Gmail,Productivity,34.5,3,1,236,5,6.64789,0.00421941,1,213
U0001,2025-01-21,YouTube,Entertainment,30.7,0,3,159,2.6,5.01577,0.01875,0.52,225
U0001,2025-01-21,Gmail,Productivity,54.2,3,1,159,4,2.88043,0.00625,0.8,214
U0001,2025-01-21,Spotify,Entertainment,66.1,1,7,159,1.9,2.3696,0.04375,0.38,203
U0001,2025-01-21,Instagram,Social,34.5,3,2,159,4,4.47887,0.0125,0.8,192
U0001,2025-01-21,Chrome,Productivity,25.4,4,0,159,5,6.02273,0,1,181
U0001,2025-01-21,WhatsApp,Social,6.1,2,3,159,3.9,22.3944,0.01875,0.78,170
U0001,2025-01-22,Instagram,Social,10.3,7,2,127,3.7,11.2389,0.015625,0.74,154.429
U0001,2025-01-22,Chrome,Productivity,154.4,3,1,127,5,0.817246,0.0078125,1,149.857
U0001,2025-01-22,Spotify,Entertainment,69.7,1,2,127,4.3,1.79632,0.015625,0.86,145.286
U0001,2025-01-22,YouTube,Entertainment,22.1,1,1,127,5,5.49784,0.0078125,1,140.714
U0001,2025-01-22,Gmail,Productivity,10.2,2,3,127,3.8,11.3393,0.0234375,0.76,136.143
U0001,2025-01-22,WhatsApp,Social,111.9,5,3,127,4.3,1.12489,0.0234375,0.86,131.571
U0001,2025-01-23,Gmail,Productivity,113.6,2,5,161,3.5,1.40489,0.0308642,0.7,131.857
U0001,2025-01-23,Instagram,Social,46.1,5,2,161,4.9,3.41826,0.0123457,0.98,136.714
U0001,2025-01-23,Chrome,Productivity,17.7,3,2,161,4.1,8.60963,0.0123457,0.82,141.571
U0001,2025-01-23,Spotify,Entertainment,14.8,0,1,161,5,10.1899,0.00617284,1,146.429
U0001,2025-01-23,YouTube,Entertainment,31.1,0,0,161,5,5.01558,0,1,151.286
U0001,2025-01-23,WhatsApp,Social,51,7,6,161,3.7,3.09615,0.037037,0.74,156.143
U0001,2025-01-24,YouTube,Entertainment,17.2,4,1,65,4,3.57143,0.0151515,0.8,147.286
U0001,2025-01-24,Spotify,Entertainment,24.1,3,7,65,1.5,2.58964,0.106061,0.3,133.571
U0001,2025-01-24,Instagram,Social,28.4,3,5,65,2.5,2.21088,0.0757576,0.5,119.857
U0001,2025-01-24,Chrome,Productivity,89.8,1,4,65,3.5,0.715859,0.0606061,0.7,106.143
U0001,2025-01-24,Gmail,Productivity,31.7,4,2,65,4.8,1.98777,0.030303,0.96,92.4286
U0001,2025-01-24,WhatsApp,Social,20.2,5,3,65,4.1,3.06604,0.0454545,0.82,78.7143
U0001,2025-01-25,Instagram,Social,44.8,6,2,235,4.3,5.131,0.00847458,0.86,89.2857
U0001,2025-01-25,WhatsApp,Social,21.1,4,2,235,4.1,10.6335,0.00847458,0.82,113.571
U0001,2025-01-25,YouTube,Entertainment,27.8,0,5,235,2.9,8.15972,0.0211864,0.58,137.857
U0001,2025-01-25,Gmail,Productivity,39.7,2,2,235,4.7,5.77396,0.00847458,0.94,162.143
U0001,2025-01-25,Chrome,Productivity,28.8,1,1,235,4.4,7.88591,0.00423729,0.88,186.429
U0001,2025-01-25,Spotify,Entertainment,48.2,2,2,235,4.2,4.77642,0.00847458,0.84,210.714
U0001,2025-01-26,Gmail,Productivity,14.5,2,1,91,4.1,5.87097,0.0108696,0.82,214.429
U0001,2025-01-26,YouTube,Entertainment,7.5,0,2,91,5,10.7059,0.0217391,1,193.857
U0001,2025-01-26,WhatsApp,Social,38.4,9,1,91,5,2.30964,0.0108696,1,173.286
U0001,2025-01-26,Instagram,Social,32.8,4,5,91,3,2.69231,0.0543478,0.6,152.714
U0001,2025-01-26,Spotify,Entertainment,36.9,1,1,91,4.6,2.40106,0.0108696,0.92,132.143
U0001,2025-01-26,Chrome,Productivity,40.8,4,3,91,4.3,2.17703,0.0326087,0.86,111.571
U0001,2025-01-27,Instagram,Social,79.8,3,3,37,3.4,0.457921,0.0789474,0.68,83.2857
U0001,2025-01-27,Gmail,Productivity,121.5,2,1,37,4.9,0.302041,0.0263158,0.98,75.5714
U0001,2025-01-27,Chrome,Productivity,36.4,3,3,37,4.6,0.989305,0.0789474,0.92,67.8571
U0001,2025-01-27,Spotify,Entertainment,40.6,2,5,37,3,0.889423,0.131579,0.6,60.1429
U0001,2025-01-27,YouTube,Entertainment,101.9,2,3,37,4.7,0.359572,0.0789474,0.94,52.4286
U0001,2025-01-27,WhatsApp,Social,9.7,3,7,37,1.2,3.45794,0.184211,0.24,44.7143
U0001,2025-01-28,Gmail,Productivity,83,2,1,158,5,1.88095,0.00628931,1,54.2857
U0001,2025-01-28,YouTube,Entertainment,72.5,4,3,158,4.2,2.14966,0.0188679,0.84,71.5714
U0001,2025-01-28,Chrome,Productivity,13.2,2,2,158,3.4,11.1268,0.0125786,0.68,88.8571
U0001,2025-01-28,Spotify,Entertainment,167.4,0,2,158,4,0.938242,0.0125786,0.8,106.143
U0001,2025-01-28,WhatsApp,Social,56,1,1,158,4.2,2.77193,0.00628931,0.84,123.429
U0001,2025-01-28,Instagram,Social,61.2,8,5,158,3.2,2.54019,0.0314465,0.64,140.714
U0001,2025-01-29,Chrome,Productivity,49.7,3,3,142,3.6,2.80079,0.020979,0.72,155.714
U0001,2025-01-29,YouTube,Entertainment,30.5,0,0,142,4.4,4.50794,0,0.88,153.429
U0001,2025-01-29,Spotify,Entertainment,40.5,2,4,142,3.3,3.42169,0.027972,0.66,151.143
U0001,2025-01-29,Instagram,Social,22.9,8,4,142,3.3,5.94142,0.027972,0.66,148.857
U0001,2025-01-29,WhatsApp,Social,29.6,6,3,142,4.2,4.64052,0.020979,0.84,146.571
U0001,2025-01-29,Gmail,Productivity,29.6,1,4,142,3.4,4.64052,0.027972,0.68,144.286
U0001,2025-01-30,YouTube,Entertainment,23.3,2,5,277,2.9,11.3992,0.0179856,0.58,161.286
U0001,2025-01-30,Spotify,Entertainment,54.7,3,2,277,3.8,4.97307,0.00719424,0.76,180.571
U0001,2025-01-30,Gmail,Productivity,15.5,2,1,277,4.1,16.7879,0.00359712,0.82,199.857
U0001,2025-01-30,Chrome,Productivity,45.5,3,2,277,4.2,5.95699,0.00719424,0.84,219.143
U0001,2025-01-30,Instagram,Social,19,8,4,277,3.5,13.85,0.0143885,0.7,238.429
U0001,2025-01-30,WhatsApp,Social,36.7,4,3,277,4.4,7.34748,0.0107914,0.88,257.714
U0001,2025-01-31,Instagram,Social,8.7,7,6,226,2.7,23.299,0.0264317,0.54,269.714
U0001,2025-01-31,YouTube,Entertainment,29.2,1,2,226,3.9,7.48344,0.00881057,0.78,262.429
U0001,2025-01-31,WhatsApp,Social,49.2,8,0,226,5,4.50199,0,1,255.143
U0001,2025-01-31,Gmail,Productivity,73.1,1,4,226,3.7,3.04993,0.0176211,0.74,247.857
U0001,2025-01-31,Chrome,Productivity,88.5,1,5,226,4.3,2.52514,0.0220264,0.86,240.571
U0001,2025-01-31,Spotify,Entertainment,35,2,2,226,3.2,6.27778,0.00881057,0.64,233.286
U0001,2025-02-01,Gmail,Productivity,61.3,4,3,179,4.2,2.87319,0.0166667,0.84,219.286
U0001,2025-02-01,YouTube,Entertainment,58.7,0,1,179,4.1,2.99832,0.00555556,0.82,212.571
U0001,2025-02-01,Chrome,Productivity,52.2,0,2,179,4.6,3.36466,0.0111111,0.92,205.857
U0001,2025-02-01,Spotify,Entertainment,28.6,3,1,179,3.9,6.0473,0.00555556,0.78,199.143
U0001,2025-02-01,Instagram,Social,71.2,2,1,179,4.9,2.47922,0.00555556,0.98,192.429
U0001,2025-02-01,WhatsApp,Social,34.2,5,1,179,4.8,5.08523,0.00555556,0.96,185.714
U0001,2025-02-02,Gmail,Productivity,37.2,2,1,193,3.6,5.05236,0.00515464,0.72,181
U0001,2025-02-02,Instagram,Social,37.1,5,0,193,4.8,5.06562,0,0.96,183
U0001,2025-02-02,YouTube,Entertainment,77.8,1,2,193,5,2.44924,0.0103093,1,185
U0001,2025-02-02,Chrome,Productivity,102.8,4,3,193,3.6,1.85934,0.0154639,0.72,187
U0001,2025-02-02,Spotify,Entertainment,36.2,5,2,193,3,5.18817,0.0103093,0.6,189
U0001,2025-02-02,WhatsApp,Social,45.4,3,7,193,2.8,4.15948,0.0360825,0.56,191
U0001,2025-02-03,Chrome,Productivity,33.2,2,4,219,3.7,6.40351,0.0181818,0.74,196.714
U0001,2025-02-03,Instagram,Social,52.7,4,4,219,3.5,4.07821,0.0181818,0.7,200.429
U0001,2025-02-03,Gmail,Productivity,58,5,1,219,4.1,3.71186,0.00454545,0.82,204.143
U0001,2025-02-03,Spotify,Entertainment,29.6,4,1,219,5,7.15686,0.00454545,1,207.857
U0001,2025-02-03,WhatsApp,Social,62.7,7,2,219,4.4,3.43799,0.00909091,0.88,211.571
U0001,2025-02-03,YouTube,Entertainment,49.3,1,3,219,4.3,4.35388,0.0136364,0.86,215.286
U0001,2025-02-04,Gmail,Productivity,23,0,4,242,3.2,10.0833,0.0164609,0.64,222.286
U0001,2025-02-04,YouTube,Entertainment,145.1,0,1,242,3.9,1.6564,0.00411523,0.78,225.571
U0001,2025-02-04,Chrome,Productivity,57.5,4,1,242,5,4.13675,0.00411523,1,228.857
U0001,2025-02-04,WhatsApp,Social,35.8,4,4,242,3.4,6.57609,0.0164609,0.68,232.143
U0001,2025-02-04,Instagram,Social,28.6,5,4,242,3.7,8.17568,0.0164609,0.74,235.429
U0001,2025-02-04,Spotify,Entertainment,44.2,0,3,242,4,5.35398,0.0123457,0.8,238.714
U0001,2025-02-05,YouTube,Entertainment,15.8,2,2,230,3.8,13.6905,0.00865801,0.76,240.286
U0001,2025-02-05,Instagram,Social,40.3,5,3,230,4,5.56901,0.012987,0.8,238.571
U0001,2025-02-05,Chrome,Productivity,46.3,1,4,230,3.6,4.86258,0.017316,0.72,236.857
U0001,2025-02-05,Gmail,Productivity,35.9,6,2,230,4.5,6.23306,0.00865801,0.9,235.143
U0001,2025-02-05,Spotify,Entertainment,42.5,3,3,230,5,5.28736,0.012987,1,233.429
U0001,2025-02-05,WhatsApp,Social,35.4,5,5,230,3.5,6.31868,0.021645,0.7,231.714
U0001,2025-02-06,YouTube,Entertainment,29.4,3,6,218,3,7.17105,0.0273973,0.6,228.286
U0001,2025-02-06,Spotify,Entertainment,20.1,4,4,218,3,10.3318,0.0182648,0.6,226.571
U0001,2025-02-06,Gmail,Productivity,97,3,1,218,3.9,2.22449,0.00456621,0.78,224.857
U0001,2025-02-06,Instagram,Social,42.8,5,3,218,3.6,4.97717,0.0136986,0.72,223.143
U0001,2025-02-06,Chrome,Productivity,31.1,2,1,218,4.5,6.79128,0.00456621,0.9,221.429
U0001,2025-02-06,WhatsApp,Social,23.4,3,4,218,3.4,8.93443,0.0182648,0.68,219.714
U0001,2025-02-07,Chrome,Productivity,46.7,1,2,189,3.9,3.96226,0.0105263,0.78,213.857
U0001,2025-02-07,WhatsApp,Social,31.9,9,3,189,4.2,5.74468,0.0157895,0.84,209.714
U0001,2025-02-07,Instagram,Social,3.4,3,3,189,4.7,42.9545,0.0157895,0.94,205.571
U0001,2025-02-07,YouTube,Entertainment,20.7,0,5,189,3.5,8.70968,0.0263158,0.7,201.429
U0001,2025-02-07,Spotify,Entertainment,32.7,2,3,189,4.3,5.60831,0.0157895,0.86,197.286
U0001,2025-02-07,Gmail,Productivity,34.9,0,2,189,4.1,5.26462,0.0105263,0.82,193.143
U0001,2025-02-08,Chrome,Productivity,20.2,2,0,258,5,12.1698,0,1,198.857
U0001,2025-02-08,Instagram,Social,53.7,7,1,258,5,4.71664,0.003861,1,208.714
U0001,2025-02-08,Gmail,Productivity,63.2,1,3,258,4.3,4.01869,0.011583,0.86,218.571
U0001,2025-02-08,WhatsApp,Social,20,2,1,258,4.5,12.2857,0.003861,0.9,228.429
U0001,2025-02-08,Spotify,Entertainment,42.1,3,3,258,4.1,5.98608,0.011583,0.82,238.286
U0001,2025-02-08,YouTube,Entertainment,71.8,3,3,258,3.8,3.54396,0.011583,0.76,248.143
U0001,2025-02-09,YouTube,Entertainment,49.1,3,5,164,2.2,3.27345,0.030303,0.44,244.571
U0001,2025-02-09,WhatsApp,Social,44,7,5,164,3.2,3.64444,0.030303,0.64,231.143
U0001,2025-02-09,Spotify,Entertainment,41.7,1,4,164,4,3.84075,0.0242424,0.8,217.714
U0001,2025-02-09,Instagram,Social,14.5,6,5,164,3.4,10.5806,0.030303,0.68,204.286
U0001,2025-02-09,Gmail,Productivity,42.5,2,3,164,4.9,3.77011,0.0181818,0.98,190.857
U0001,2025-02-09,Chrome,Productivity,10.2,6,2,164,3.8,14.6429,0.0121212,0.76,177.429
U0001,2025-02-10,Spotify,Entertainment,59.3,2,3,183,4.1,3.03483,0.0163043,0.82,166.714
U0001,2025-02-10,Gmail,Productivity,8.8,1,7,183,1.8,18.6735,0.0380435,0.36,169.429
U0001,2025-02-10,Chrome,Productivity,70.7,2,4,183,2.7,2.5523,0.0217391,0.54,172.143
U0001,2025-02-10,Instagram,Social,23.4,8,8,183,2.5,7.5,0.0434783,0.5,174.857
U0001,2025-02-10,YouTube,Entertainment,30.5,2,2,183,4.4,5.80952,0.0108696,0.88,177.571
U0001,2025-02-10,WhatsApp,Social,249.2,2,1,183,3.9,0.731415,0.00543478,0.78,180.286
U0001,2025-02-11,WhatsApp,Social,26.9,3,2,70,4.3,2.50896,0.028169,0.86,166.857
U0001,2025-02-11,Gmail,Productivity,47.4,2,3,70,2.9,1.44628,0.0422535,0.58,150.714
U0001,2025-02-11,Instagram,Social,69.2,5,1,70,3.8,0.997151,0.0140845,0.76,134.571
U0001,2025-02-11,YouTube,Entertainment,75.6,3,4,70,3.8,0.913838,0.056338,0.76,118.429
U0001,2025-02-11,Chrome,Productivity,28.1,3,4,70,2.9,2.4055,0.056338,0.58,102.286
U0001,2025-02-11,Spotify,Entertainment,14.1,1,3,70,3.6,4.63576,0.0422535,0.72,86.1429
U0001,2025-02-12,WhatsApp,Social,12.2,7,3,270,3.6,20.4545,0.0110701,0.72,98.5714
U0001,2025-02-12,Spotify,Entertainment,33.3,1,4,270,3.5,7.87172,0.0147601,0.7,127.143
U0001,2025-02-12,Chrome,Productivity,18.1,2,4,270,2.9,14.1361,0.0147601,0.58,155.714
U0001,2025-02-12,YouTube,Entertainment,64.8,1,3,270,3.8,4.10334,0.0110701,0.76,184.286
U0001,2025-02-12,Gmail,Productivity,29.4,1,5,270,2.1,8.88158,0.0184502,0.42,212.857
U0001,2025-02-12,Instagram,Social,132.6,11,5,270,4.6,2.02096,0.0184502,0.92,241.429
U0001,2025-02-13,Spotify,Entertainment,65.6,1,4,157,2.6,2.35736,0.0253165,0.52,253.857
U0001,2025-02-13,WhatsApp,Social,21.5,3,2,157,3.7,6.97778,0.0126582,0.74,237.714
U0001,2025-02-13,Gmail,Productivity,113.1,1,4,157,3.8,1.37599,0.0253165,0.76,221.571
U0001,2025-02-13,Instagram,Social,32.3,4,2,157,4.3,4.71471,0.0126582,0.86,205.429
